FF,F,M,E,W,EStartDate,EEndDate,Event Name,Country,City,Url,fburl,emurl,tfnurl,tfsrurl,tinfourl,tmdurl
,,,,,14/01/2016,18/01/2016,Argentina Tango Salon Festival,Argentina,Buenos Aires,http://www.argentinatangosalon.com.ar/,,,,,,
ff1,,,,,12/02/2016,14/02/2016,Amor Tango Festival Rosario,Argentina,Rosario,http://www.amortangofest.com,https://www.facebook.com/amortangofestival?ref=hl,mailto:analiadelgiglio@gmail.com,http://tangofestivals.net/sections/festivals/calendar_displayevent.php?ID=1588,http://www.festivalsero.com/international_amor_tango_festival_rosario-6252,https://tango.info/festivals/2016arrosr,
,,,,,25/02/2016,14/03/2016,Tango Cruise to Buenos Aires,Argentina,Buenos Aires,http://www.tango-cruise.com/,,,,,,
ff2,,,,,13/03/2016,19/03/2016,CITA - Congreso Internacional de Tango Argentino,Argentina,Buenos Aires,http://www.tangopal.com/cita.the.event,,,,http://www.festivalsero.com/cita__congreso_internacional_de_tango_argentino-6078,,
,,,,,19/03/2016,27/03/2016,Festival Cambalache,Argentina,Buenos Aires,http://festival-cambalache.wix.com,,,,,,
,,,,,12/08/2016,15/08/2016,Milongueando en BA,Argentina,BsAs,http://milongueandoenba.com/,,,,,,
,,,,,05/02/2016,07/02/2016,Port Macquarie Tango Festival,Australia,Port Macquarrie,http://www.portmactangofestival.com,,,,,,
ff1,,,e,,01/01/2016,03/01/2016,Encuentro Milonguero - Noches de invierno,Austria,Reichenau an der Rax,http://www.nochesdeinvierno.com/,https://www.facebook.com/groups/571502876225325/,mailto:info@nochesdeinvierno.com,,http://www.festivalsero.com/encuentro_milonguero_noches_de_invierno-5727,https://tango.info/festivals/2016atrcan,
ff2,,,,,04/05/2016,08/05/2016,Tangoamadeus - Vienna Tango Festival,Austria,Vienna,http://www.tangoamadeus.com/,,,http://tangofestivals.net/sections/festivals/calendar_displayevent.php?ID=1567,http://www.festivalsero.com/tangoamadeus__vienna_tango_festival-5953,https://tango.info/festivals/2016atviea,
,,,e,,12/08/2016,14/08/2016,Noches de Verano,Austria,Reichenau an der Rax,http://www.nochesdeverano.at/en/index.html,https://www.facebook.com/groups/762793253814508/,mailto:info@nochesdeverano.at,,,,http://www.tangomarathons.com/events/noches-de-verano/
,,m,,,18/12/2015,20/12/2015,La cita de los amigos - Maratón de Navidad,Belgium,Brussels,http://www.lacitadelosamigos.be/,https://www.facebook.com/groups/lacitadelosamigos/,mailto:lacita@all2all.org,,,,http://www.tangomarathons.com/events/la-cita-de-los-amigos-maraton-de-navidad/
,,,,,28/04/2016,02/05/2016,Brussels Tango Festival,Belgium,Brussels,http://brusselstangofestival.com,,,,,,
ff1,,,,,05/05/2016,08/05/2016,Encuentro de Brujas,Belgium,Brugge,http://encuentrodebrujas.be/,https://www.facebook.com/groups/encuentrodebrujas/,mailto:Encuentrodebrujas@tangobrugge.be,,,https://tango.info/festivals/2016bebgse,http://www.tangomarathons.com/events/www-encuentrodebrujas-be/
ff2,,,,,13/05/2016,15/05/2016,Antwerpen Tango Festival,Belgium,Antwerp,http://antwerpentangofestival.com/,,,,http://www.festivalsero.com/antwerpen_tango_festival-6204,https://tango.info/festivals/2016beanrc,
,,m,,,17/06/2016,19/06/2016,La cita de los amigos 7,Belgium,Émines,http://www.lacitadelosamigos.be/,https://www.facebook.com/groups/lacitadelosamigos/,mailto:lacita@all2all.org,,,,http://www.tangomarathons.com/events/la-cita-de-los-amigos-7/
,,,,,mid aug,,Marathon de Chocolate ,Belgium,Brussels,http://www.marathondelchocolate.com/,,,,,,
ff,f,,,,11/12/2015,13/12/2015,TANGO MISSION IN:SOFIA / DIAs DEL TANGO,Bulgaria,Sofia,http://www.tangomission.com,http://www.facebook.com/events/527670207381707/,mailto:diadeltango@gmail.com,,,,http://www.tangomarathons.com/events/tango-mission-insofia-dias-del-tango/
ff2,,m,,,31/12/2015,02/01/2016,New Year Tango Ball Sofia 2016,Bulgaria,Sofia,http://bulgariatango.com/?page_id=364,,,,http://www.festivalsero.com/new_year_tango_ball-6297,,http://www.tangomarathons.com/events/new-year-tango-ball-sofia-2016/
,,,,,29/01/2016,01/02/2016,Bulgaria Winter Tango Marathon,Bulgaria,Plovdiv,https://www.facebook.com/events/972257036154597/,,,,,,
ff2,,,,,08/01/2016,10/01/2016,Toronto Tango Marathon,Canada,Toronto,http://www.torontotangomarathon.com/,,,http://tangofestivals.net/sections/festivals/calendar_displayevent.php?ID=1571,http://www.festivalsero.com/toronto_tango_marathon-6068,,
